sample_id,SMILES,formula,MW,CAS,MA,MA (mean est.),Error,Dataset
5repeatAllMolecules/Ceftiofur_1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@H]12)c1csc(N)n1,C19H17N5O7S3,523.029016,80370-57-6,25,33.86385365329818,8.863853653298179,NatComm
5repeatAllMolecules/SR1001_1,CC(=O)Nc1nc(C)c(S(=O)(=O)Nc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)s1,C15H13F6N3O4S2,477.025169,1335106-03-0,23,31.71806233446845,8.718062334468453,NatComm
5repeatAllMolecules/Primisulfuron_Methyl_1,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(OC(F)F)cc(OC(F)F)n1,C15H12F4N4O7S,468.036285,86209-51-0,23,27.84225898359218,4.842258983592178,NatComm
5repeatAllMolecules/84Chlorophenyl_1,Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2[C@@H]1O[C@@H]2COP(=O)([O-])O[C@H]2[C@H]1O.[Na+],C16H14ClN5NaO6PS,492.998868,93882-12-3,22,32.21201321312486,10.21201321312486,NatComm
5repeatAllMolecules/Cyclosulfamuron_1,COc1cc(OC)nc(NC(=O)NS(=O)(=O)Nc2ccccc2C(=O)C2CC2)n1,C17H19N5O6S,421.105606,136849-15-5,22,27.26941952604788,5.26941952604788,NatComm
5repeatAllMolecules/Azetreonam_1,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,C13H17N5O8S2,435.051859,78110-38-0,21,25.49150378874083,4.491503788740832,NatComm
5repeatAllMolecules/Cefpodoxime_1,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,C15H17N5O6S2,427.062029,80210-62-4,21,27.07031754070828,6.070317540708281,NatComm
5repeatAllMolecules/L246468_1,COCCNc1nc2ccccn2c(=O)c1/C=C1\SC(=S)N(C2CCCCC2)C1=O,C21H24N4O3S2,444.128985,381701-95-7,21,28.43577138468331,7.435771384683314,NatComm
5repeatAllMolecules/Necrostatin5_1,COc1ccc(-n2c(SCC#N)nc3sc4c(c3c2=O)CCCC4)cc1,C19H17N3O2S2 ,383.076221,337349-54-9,20,23.84953026790011,3.849530267900107,NatComm
5repeatAllMolecules/Oxacillin_1,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,C19H19N3O5S,401.104544,66-79-5,19,21.45449270658083,2.45449270658083,NatComm
5repeatAllMolecules/Bretazenil_1,CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,C19H20BrN3O3,417.068823,84379-13-5,19,22.36864089856252,3.368640898562525,NatComm
5repeatAllMolecules/CITCO_1,Clc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,C19H12Cl3N3OS,434.976668,338404-52-7,19,24.94037328888821,5.940373288888214,NatComm
5repeatAllMolecules/Necrostatin7_1,N=C1S/C(=C\c2cn[nH]c2-c2ccc(F)cc2)C(=O)N1c1nccs1,C16H10FN5OS2,371.0318,351062-08-3,18,23.02664561130354,5.026645611303543,NatComm
Alasdair-300MW/Sample_#29_Stepped_MS3,CC1(C)OB(c2cc(F)cc(Cn3ccnc3)c2)OC1(C)C,C16H20BFN2O2,302.2,2246882-18-6,18,18.95810569502519,0.9581056950251892,Alasdair
5repeatAllMolecules/SCH58261_1,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,C18H15N7O,345.133808,160098-96-4,18,20.50342395197792,2.503423951977922,NatComm
5repeatAllMolecules/Guanosine5monophosphate_1,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C10H14N5O8P,363.058003,85-32-5,18,27.2647243121805,9.264724312180505,NatComm
150523/CAS_1306606_88_1,CCc1ccc2nc(NC(=O)OCC(F)(F)F)sc2c1,C12H11F3N2O2S,304.29,1306606-88-1,18,18.32489988781061,0.3248998878106093,Alasdair
5repeatAllMolecules/2Deoxyadenosine5monophosphate_1,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,C10H14N5O6P,331.068173,653-63-4,17,20.34585918115402,3.345859181154019,NatComm
5repeatAllMolecules/Tenoxicam_1,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,C13H11N3O4S2,337.019101,59804-37-4,17,21.91551239241896,4.915512392418965,NatComm
5repeatAllMolecules/Fmoc_Nhydroxysuccinimide_ester_1,O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O,C19H15NO5,337.095023,82911-69-1,17,21.36367141215592,4.363671412155917,NatComm
5repeatAllMolecules/CDS020670_1,CC(C)(C)OC(=O)N[C@@H](CCCCNC(=O)c1cccnc1)C(=O)O,C17H25N3O5,351.179,14609-04-2,17,23.02468062260933,6.024680622609335,NatComm
5repeatAllMolecules/Adenosine5Monophosphate_1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+],C10H12N5Na2O7P,391.026978,4578-31-8,17,23.58951600347685,6.589516003476852,NatComm
150523/CAS_565209_29_2,S=c1[nH]nc(-c2c[nH]c3ccccc23)n1CC1CCCO1,C15H16N4OS,300.38,565209-29-2,17,17.54282540646511,0.5428254064651057,Alasdair
150523/CAS_252577_86_9,CC(C)(C)OC(=O)NC1CCN(c2ccc(C#N)cn2)CC1,C16H22N4O2,302.37,252577-86-9,17,15.68606422699316,1.313935773006836,Alasdair
Alasdair-300MW/Sample_#25_Stepped_MS3,O=C(O)CSc1nccn1-c1ccc(C(F)(F)F)cc1,C12H9F3N2O2S,302.3,1038335-12-4,17,19.89473345582543,2.894733455825431,Alasdair
5repeatAllMolecules/CDS014803_1,CS(=O)(=O)c1ccc(-c2noc(C3CCNCC3)n2)cc1,C14H17N3O3S,307.099064,849925-03-7,16,19.82001959520809,3.820019595208095,NatComm
150523/CAS_492431_11_5,CC(C)(C)OC(=O)N1CCN(c2ccc(Cl)nn2)CC1,C13H19ClN4O2,287.77,492431-11-5,16,16.7478222384556,0.7478222384556048,Alasdair
150523/CAS_250714_51_3,CC(NS(=O)(=O)c1cccc(C(F)(F)F)c1)C(=O)O,C10H10F3NO4S,397.25,250714-51-3,16,14.90223980844861,1.097760191551391,Alasdair
5repeatAllMolecules/LY171883_1,CCCc1c(OCCCCc2nn[nH]n2)ccc(C(C)=O)c1O,C16H22N4O3,318.169191,88107-10-2,16,20.12831573911586,4.128315739115855,NatComm
5repeatAllMolecules/Nimodipine_1,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,C21H26N2O7,418.174002,66085-59-4,16,26.62605457478774,10.62605457478774,NatComm
5repeatAllMolecules/DPH_1,O=C1NC(=O)C(c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)N1,C18H13FN4O2,336.102254,484049-04-9,16,16.52098176216867,0.5209817621686668,NatComm
5repeatAllMolecules/133trimethly_1,CN1c2ccccc2C(C)(C)C12C=Cc1cc([N+](=O)[O-])ccc1O2,C19H18N2O3 ,322.131743,1498-88-0,15,21.04503649359577,6.045036493595767,NatComm
150523/CAS_13139_14_5,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,C16H20N2O4,304.34,13139-14-5,15,18.32322517783039,3.323225177830388,Alasdair
