primitivo,capa,definicion,clasificacion_DAN,domain_rate,global_rate,ratio
vacío,1,"Ausencia como sustancia, espacio potencial",N,0.0000,0.0531,0.1585
información,1,"Patrón, código, estructura abstracta",A,0.9362,0.9649,0.9705
uno,1,"Singularidad, unidad",N,0.0213,0.3269,0.0928
fuerza,2,"Capacidad de cambio, empuje, potencial",A,0.5035,0.8259,0.6143
eje_profundidad,2,Dimensión adelante-atrás,A,1.0000,0.9677,1.0331
contención,2,"Dentro/fuera, límites y fronteras",A,0.7163,0.9409,0.7638
más,2,"Aumento, incremento",A,1.0000,0.9127,1.0946
menos,2,"Disminución, reducción",N,0.0000,0.0337,0.2288
unión,2,"Juntar, conectar, vincular",D,0.8865,0.5245,1.6774
separación,2,"Dividir, aislar, desconectar",N,0.0071,0.0785,0.1932
parte_de,2,"Inclusión, pertenencia",A,0.1064,0.1477,0.7378
mover,3,"Desplazamiento, cambio de posición",A,1.0000,0.9423,1.0606
posición_temporal,3,"Pasado, presente, futuro",A,0.9929,0.9206,1.0777
flujo_temporal,3,"Cómo pasa el tiempo, duración",D,0.6383,0.2553,2.4436
hacer,3,"Acción, ejecución, producción",A,1.0000,0.9871,1.0130
creación,3,Generar algo nuevo,A,0.8440,0.7613,1.1072
destrucción,3,"Eliminar, deshacer",A,0.8227,0.6593,1.2442
orden,3,"Estructura, regularidad",A,0.9929,0.9801,1.0129
caos,3,"Desorden, turbulencia",A,0.9858,0.7964,1.2349
porque,3,"Causalidad, razón",A,0.9645,0.8606,1.1194
si_entonces,3,"Condicionalidad, implicación",N,0.0071,0.0605,0.2425
eje_vertical,4,Dimensión arriba-abajo,N,0.0000,0.0406,0.1975
eje_lateral,4,Dimensión izquierda-derecha,A,0.0000,0.0092,0.5199
equilibrio,4,"Balance, orientación espacial",A,0.0000,0.0097,0.5077
vista,4,Percepción visual,D,0.7730,0.2161,3.4638
bien,4,Polo moral positivo,D,0.3688,0.1066,3.2473
mal,4,Polo moral negativo,N,0.0213,0.1339,0.2174
verdad,4,Correspondencia con realidad,A,0.1915,0.3287,0.5949
mentira,4,Distorsión de realidad,N,0.0426,0.1787,0.2785
libertad,4,Autodeterminación,A,0.5177,0.5771,0.8989
control,4,"Restricción, regulación",A,0.4681,0.4178,1.1175
tipo_de,4,"Clasificación, categoría",A,0.0000,0.0023,0.8125
algunos,4,"Parte, porción",D,0.7234,0.3670,1.9452
muchos,4,Pluralidad,A,0.9858,0.8887,1.1080
todo,4,"Totalidad, completitud",N,0.0567,0.4765,0.1372
puede,4,"Posibilidad, capacidad",N,0.1206,0.3523,0.3604
debe,4,"Obligación, necesidad",N,0.0567,0.3952,0.1647
tal_vez,4,"Incertidumbre, apertura",A,0.9858,0.7345,1.3375
tierra,5,"Solidez, fundamento, lo tangible",A,0.8156,0.7521,1.0834
agua,5,"Fluidez, adaptación, profundidad",A,0.9787,0.8223,1.1880
aire,5,"Expansión, respiración, ubicuidad",A,0.9220,0.6283,1.4600
fuego,5,"Transformación, calor, radiancia",A,0.8440,0.7364,1.1442
tacto,5,"Presión, temperatura, textura",A,0.5035,0.5028,1.0015
oído,5,"Sonido, música, lenguaje hablado",D,0.6809,0.2678,2.4871
gusto,5,Percepción gustativa,N,0.0071,0.0245,0.4959
olfato,5,Percepción olfativa,N,0.0496,0.3306,0.1751
interocepción,5,Estado interno del cuerpo,A,0.0567,0.0799,0.7426
vida,5,"Animación, crecimiento",D,0.8369,0.4409,1.8782
muerte,5,"Cese vital, disolución",A,0.0071,0.0203,0.5638
placer,5,Experiencia hedónica positiva,D,0.7021,0.2202,3.0932
dolor,5,Experiencia hedónica negativa,D,0.8794,0.4543,1.9157
consciente,5,"Awareness, presencia de conciencia",A,0.3901,0.3920,0.9953
ausente,5,Ausencia de conciencia,D,0.3688,0.2322,1.5638
individual,5,"Uno solo, particular",A,0.0000,0.0060,0.6249
colectivo,5,"Grupo, comunidad",D,0.2128,0.0776,2.5441
querer,5,"Deseo, voluntad, intención",N,0.0071,0.0332,0.3953
saber,5,"Conocimiento, comprensión",D,0.5319,0.2641,1.9772
pensar,5,"Razonamiento, reflexión",A,0.9929,0.8661,1.1447
decir,5,Comunicación verbal,N,0.0284,0.1708,0.2122
temporal_obs,6,"Observador mortal, atado al tiempo",D,0.1773,0.0346,4.1972
eterno_obs,6,Observador fuera del tiempo,A,0.0000,0.0009,0.9155
receptivo,6,"Que recibe, absorbe, escucha",D,0.7305,0.2216,3.1972
creador_obs,6,"Que crea, produce activamente",A,0.0142,0.0332,0.5593
atracción,3,"Tendencia de aproximación, valencia positiva",N,0.0071,0.0702,0.2132
decaimiento,4,"Deterioro progresivo, disolución de estructura organizada",A,0.0071,0.0092,0.8887
aversión,4,"Tendencia de evitación, valencia negativa",D,0.8723,0.4529,1.9061
cooperación,4,Acción conjunta hacia objetivo compartido,D,0.4894,0.0762,5.7946
pérdida,4,"Ausencia tras haber tenido, vacío dejado por destrucción",N,0.0000,0.0208,0.3249
atención,5,"Foco selectivo de la conciencia, filtro perceptual",N,0.0000,0.0102,0.4961
intención,5,"Propósito dirigido, voluntad de actuar hacia un fin",A,0.0000,0.0014,0.8783
proporción,3,"Relación cuantitativa entre magnitudes, ratio",N,0.0142,0.1427,0.1584
quietud,3,"Ausencia de desplazamiento, permanencia en posición",N,0.0426,0.1274,0.3824
