bit,prime,name,layer,checkpoint,r,i,j,k,norm
0,2,vacío,1,v8,0.0094,0.0000,0.0000,0.0000,0.0094
1,3,información,1,v8,0.6318,0.0000,0.0000,0.0000,0.6318
44,197,uno,1,v8,0.1852,0.0000,0.0000,0.0000,0.1852
2,5,fuerza,2,v8,0.3838,0.0000,0.0000,0.0000,0.3838
8,23,eje_profundidad,2,v8,0.9432,0.0000,0.0000,0.0000,0.9432
10,31,contención,2,v8,0.6916,0.0000,0.0000,0.0000,0.6916
61,293,más,2,v8,0.6628,0.0000,0.0000,0.0000,0.6628
62,307,menos,2,v8,0.0144,0.0000,0.0000,0.0000,0.0144
26,103,unión,2,v8,0.2130,0.0000,0.0000,0.0000,0.2130
27,107,separación,2,v8,0.0192,0.0000,0.0000,0.0000,0.0192
59,281,parte_de,2,v8,0.0584,0.0000,0.0000,0.0000,0.0584
50,233,mover,3,v8,0.6090,0.7475,0.2222,0.0000,0.9895
11,37,posición_temporal,3,v8,0.7631,0.6653,0.3333,0.0000,1.0659
12,41,flujo_temporal,3,v8,0.0717,0.6179,0.4444,0.0000,0.7645
48,227,hacer,3,v8,0.8127,0.5287,0.3333,0.0000,1.0252
24,97,creación,3,v8,0.4782,0.0000,0.4444,0.0000,0.6528
25,101,destrucción,3,v8,0.4585,0.0000,0.4444,0.0000,0.6386
22,83,orden,3,v8,1.0000,0.0000,0.4444,0.0000,1.0943
23,89,caos,3,v8,0.3940,0.0000,0.4444,0.0000,0.5939
54,257,porque,3,v8,0.7277,0.8618,0.4444,0.0000,1.2123
55,263,si_entonces,3,v8,0.0112,0.5615,0.5556,0.0000,0.7900
7,19,eje_vertical,4,v8,0.0215,0.6771,0.2222,0.0000,0.7130
9,29,eje_lateral,4,v8,0.0050,0.3888,0.3333,0.0000,0.5122
18,67,equilibrio,4,v8,0.0029,0.4157,0.4444,0.0000,0.6086
13,43,vista,4,v8,0.0649,0.7487,0.3333,0.0000,0.8221
20,73,bien,4,v8,0.0479,0.0000,0.5556,0.0000,0.5576
21,79,mal,4,v8,0.0435,0.0000,0.5556,0.0000,0.5573
28,109,verdad,4,v8,0.1474,0.0000,0.5556,0.0000,0.5748
29,113,mentira,4,v8,0.1126,0.0000,0.5556,0.0000,0.5668
30,127,libertad,4,v8,0.3051,0.0000,0.3333,0.0000,0.4519
31,131,control,4,v8,0.2222,0.0000,0.3333,0.0000,0.4006
60,283,tipo_de,4,v8,0.0007,0.3962,0.5556,0.0000,0.6824
47,223,algunos,4,v8,0.1709,0.7751,0.4444,0.0000,0.9097
45,199,muchos,4,v8,0.6819,0.7837,0.2222,0.0000,1.0624
46,211,todo,4,v8,0.1507,0.8420,0.3333,0.0000,0.9181
56,269,puede,4,v8,0.1311,0.8747,0.4444,0.0000,0.9898
57,271,debe,4,v8,0.1982,1.0000,0.4444,0.0000,1.1121
58,277,tal_vez,4,v8,0.5672,0.9457,0.5556,0.0000,1.2348
4,11,tierra,5,v8,0.5556,0.9702,0.5556,0.0000,1.2485
5,13,agua,5,v8,0.7408,0.9419,0.3333,0.0000,1.2438
6,17,aire,5,v8,0.2128,0.6144,0.4444,0.0000,0.7876
3,7,fuego,5,v8,0.3965,0.8475,0.5556,0.0000,1.0881
15,53,tacto,5,v8,0.2019,0.9774,0.3333,0.0000,1.0522
14,47,oído,5,v8,0.0988,0.6432,0.5556,0.0000,0.8556
16,59,gusto,5,v8,0.0079,0.5647,0.3333,0.0000,0.6558
17,61,olfato,5,v8,0.2325,0.8928,0.3333,0.0000,0.9809
19,71,interocepción,5,v8,0.0318,0.7875,0.6667,0.0000,1.0323
32,137,vida,5,v8,0.1650,0.0000,0.5556,0.0000,0.5795
33,139,muerte,5,v8,0.0079,0.0000,0.6667,0.0000,0.6667
34,149,placer,5,v8,0.0718,0.0000,0.6667,0.0000,0.6705
35,151,dolor,5,v8,0.2046,0.0000,0.6667,0.0000,0.6973
36,157,consciente,5,v8,0.1115,0.0000,0.6667,0.5000,0.8408
37,163,ausente,5,v8,0.0804,0.0000,0.7778,0.5000,0.9281
40,179,individual,5,v8,0.0041,0.0000,0.6667,0.0000,0.6667
41,181,colectivo,5,v8,0.0177,0.0000,0.7778,0.0000,0.7780
49,229,querer,5,v8,0.0155,0.5851,0.7778,1.0000,1.3956
51,239,saber,5,v8,0.0745,0.6576,0.7778,1.0000,1.4293
52,241,pensar,5,v8,0.5185,0.6609,0.7778,1.0000,1.5201
53,251,decir,5,v8,0.0709,0.6899,0.7778,1.0000,1.4443
38,167,temporal_obs,6,v8,0.0071,0.0000,0.7778,0.5000,0.9247
39,173,eterno_obs,6,v8,0.0009,0.0000,0.7778,0.5000,0.9246
42,191,receptivo,6,v8,0.0391,0.0000,0.8889,0.5000,1.0206
43,193,creador_obs,6,v8,0.0066,0.0000,1.0000,1.0000,1.4142
66,331,atracción,3,v8,0.0184,0.0000,0.2222,0.0000,0.2230
65,317,decaimiento,4,v8,0.0079,0.4780,0.5556,0.0000,0.7329
67,337,aversión,4,v8,0.2263,0.0000,0.5556,0.0000,0.5999
68,347,cooperación,4,v8,0.0223,0.6710,0.4444,0.0000,0.8052
69,349,pérdida,4,v8,0.0120,0.5950,0.5556,0.0000,0.8141
70,353,atención,5,v8,0.0080,0.4318,0.7778,0.5000,1.0205
71,359,intención,5,v8,0.0005,0.3937,0.8889,1.0000,1.3947
63,311,proporción,3,v8,0.0231,0.5130,0.5556,0.0000,0.7565
64,313,quietud,3,v8,0.0339,0.7475,0.2222,0.0000,0.7806
0,2,vacío,1,v9,0.0034,0.0000,0.0000,0.0000,0.0034
1,3,información,1,v9,0.8376,0.0000,0.0000,0.0000,0.8376
44,197,uno,1,v9,0.6927,0.0000,0.0000,0.0000,0.6927
2,5,fuerza,2,v9,0.6698,0.0000,0.0000,0.0000,0.6698
8,23,eje_profundidad,2,v9,0.3880,0.0000,0.0000,0.0000,0.3880
10,31,contención,2,v9,1.0000,0.0000,0.0000,0.0000,1.0000
61,293,más,2,v9,0.6263,0.0000,0.0000,0.0000,0.6263
62,307,menos,2,v9,0.0181,0.0000,0.0000,0.0000,0.0181
26,103,unión,2,v9,0.0482,0.0000,0.0000,0.0000,0.0482
27,107,separación,2,v9,0.1282,0.0000,0.0000,0.0000,0.1282
59,281,parte_de,2,v9,0.0738,0.0000,0.0000,0.0000,0.0738
