step,churn_rate,entropy,utilization
5000,0.0,0.41226126030168025,0.3231763619575254
10000,1.0,0.5064046599934117,0.29593721144967683
15000,0.9626038781163435,0.5381289436562964,0.2922437673130194
20000,0.9344413665743305,0.530418085447715,0.3204062788550323
25000,0.9233610341643582,0.5649161569816284,0.30055401662049863
30000,0.8882733148661126,0.5160236480856573,0.2931671283471837
35000,0.8190212373037857,0.5519849928752545,0.3033240997229917
40000,0.7793167128347184,0.5527777772659738,0.3079409048938135
45000,0.6745152354570637,0.5415875063084086,0.29085872576177285
50000,0.4584487534626039,0.5454001211761134,0.2793167128347184
