step,lang_loss,tri_loss,dist_loss,lr,elapsed_s
1,8.847285,0.000000,0.000000,0.00000020,1.2
2,9.033636,0.000000,0.000000,0.00000040,1.4
3,8.611768,0.000000,0.000000,0.00000060,1.7
4,8.643109,0.000000,0.000000,0.00000080,2.1
5,8.648734,0.000000,0.000000,0.00000100,2.4
6,8.794591,0.000000,0.000000,0.00000120,2.7
7,8.994246,0.000000,0.000000,0.00000140,3.1
8,8.661004,0.000000,0.000000,0.00000160,3.4
9,8.805747,0.000000,0.000000,0.00000180,3.8
10,8.505155,0.000000,0.000000,0.00000200,4.1
11,8.510335,0.000000,0.000000,0.00000220,4.4
12,8.087063,0.000000,0.000000,0.00000240,4.8
13,8.367442,0.000000,0.000000,0.00000260,5.1
14,8.461257,0.000000,0.000000,0.00000280,5.4
15,8.198936,0.000000,0.000000,0.00000300,5.8
16,8.228602,0.000000,0.000000,0.00000320,6.1
17,8.024898,0.000000,0.000000,0.00000340,6.5
18,7.890902,0.000000,0.000000,0.00000360,6.8
19,7.828390,0.000000,0.000000,0.00000380,7.2
20,7.658049,0.000000,0.000000,0.00000400,7.5
21,7.851475,0.000000,0.000000,0.00000420,7.8
22,7.833722,0.000000,0.000000,0.00000440,8.2
23,7.717076,0.000000,0.000000,0.00000460,8.5
24,7.405186,0.000000,0.000000,0.00000480,8.8
25,7.458377,0.000000,0.000000,0.00000500,9.2
26,7.207505,0.000000,0.000000,0.00000520,9.5
27,7.196588,0.000000,0.000000,0.00000540,9.9
28,7.245231,0.000000,0.000000,0.00000560,10.2
29,7.324231,0.000000,0.000000,0.00000580,10.5
30,7.247029,0.000000,0.000000,0.00000600,10.9
31,7.220037,0.000000,0.000000,0.00000620,11.2
32,7.247260,0.000000,0.000000,0.00000640,11.6
33,7.209709,0.000000,0.000000,0.00000660,11.9
34,6.822181,0.000000,0.000000,0.00000680,12.2
35,6.876957,0.000000,0.000000,0.00000700,12.6
36,7.031332,0.000000,0.000000,0.00000720,12.9
37,7.003197,0.000000,0.000000,0.00000740,13.2
38,7.072636,0.000000,0.000000,0.00000760,13.6
39,7.118433,0.000000,0.000000,0.00000780,13.9
40,6.801871,0.000000,0.000000,0.00000800,14.3
41,6.938375,0.000000,0.000000,0.00000820,14.6
42,7.021256,0.000000,0.000000,0.00000840,14.9
43,7.009070,0.000000,0.000000,0.00000860,15.3
44,7.024110,0.000000,0.000000,0.00000880,15.6
45,7.002659,0.000000,0.000000,0.00000900,16.0
46,6.934264,0.000000,0.000000,0.00000920,16.3
47,6.885312,0.000000,0.000000,0.00000940,16.6
48,6.781831,0.000000,0.000000,0.00000960,17.0
49,6.969091,0.000000,0.000000,0.00000980,17.3
50,6.853690,0.000000,0.000000,0.00001000,17.7
51,6.715705,0.000000,0.000000,0.00001020,18.0
52,6.786452,0.000000,0.000000,0.00001040,18.3
53,6.675199,0.000000,0.000000,0.00001060,18.7
54,6.674439,0.000000,0.000000,0.00001080,19.0
55,6.681292,0.000000,0.000000,0.00001100,19.4
56,6.746998,0.000000,0.000000,0.00001120,19.7
57,6.512076,0.000000,0.000000,0.00001140,20.0
58,6.641986,0.000000,0.000000,0.00001160,20.4
59,6.670068,0.000000,0.000000,0.00001180,20.7
60,6.686521,0.000000,0.000000,0.00001200,21.1
61,6.485697,0.000000,0.000000,0.00001220,21.4
62,6.489366,0.000000,0.000000,0.00001240,21.7
63,6.846421,0.000000,0.000000,0.00001260,22.1
64,6.614565,0.000000,0.000000,0.00001280,22.4
65,6.596571,0.000000,0.000000,0.00001300,22.8
66,6.288034,0.000000,0.000000,0.00001320,23.1
67,6.443527,0.000000,0.000000,0.00001340,23.4
68,6.684520,0.000000,0.000000,0.00001360,23.8
69,6.501484,0.000000,0.000000,0.00001380,24.1
70,6.470712,0.000000,0.000000,0.00001400,24.5
71,6.357187,0.000000,0.000000,0.00001420,24.8
72,6.641844,0.000000,0.000000,0.00001440,221.6
73,6.360926,0.000000,0.000000,0.00001460,222.0
74,6.469792,0.000000,0.000000,0.00001480,222.3
75,6.475131,0.000000,0.000000,0.00001500,222.7
76,6.287215,0.000000,0.000000,0.00001520,223.0
77,6.113785,0.000000,0.000000,0.00001540,223.3
78,6.345047,0.000000,0.000000,0.00001560,223.7
79,6.353471,0.000000,0.000000,0.00001580,224.0
80,6.449504,0.000000,0.000000,0.00001600,224.4
81,6.357449,0.000000,0.000000,0.00001620,224.7
82,6.264949,0.000000,0.000000,0.00001640,225.0
83,6.244648,0.000000,0.000000,0.00001660,225.4
84,6.371963,0.000000,0.000000,0.00001680,225.7
85,6.255149,0.000000,0.000000,0.00001700,226.1
86,6.239467,0.000000,0.000000,0.00001720,226.4
87,6.390630,0.000000,0.000000,0.00001740,226.7
88,6.453243,0.000000,0.000000,0.00001760,227.1
89,6.263303,0.000000,0.000000,0.00001780,227.4
90,6.363987,0.000000,0.000000,0.00001800,227.8
91,6.190475,0.000000,0.000000,0.00001820,228.1
